ID,Customer,Industry
1001,Abbott Laboratories,Healthcare
1002,Aetna,Healthcare
1003,Allstate,Finance
1004,Amazon,Tech
1005,American Express,Finance
1006,Aviva,Finance
1007,AmerisourceBergen,Healthcare
1008,Apple,Tech
1009,Ford Motor,Manufacturing
1010,AT&T,Communications
1011,Bank of America Corp.,Finance
1012,Berkshire Hathaway,Finance
1013,Enel,Energy
1014,Boeing,Manufacturing
1015,Samsung Electronics,Tech
1016,Caterpillar,Manufacturing
1017,Chevron,Energy
1018,Petrobras,Energy
1019,Cisco Systems,Tech
1020,Citigroup,Finance
1021,Coca-Cola,Consumer Products
1022,Comcast,Communications
1023,China National Petroleum,Energy
1024,ConocoPhillips,Energy
1025,Costco Wholesale,Retail
1026,CVS Health,Retail
1027,Gazprom,Energy
1028,Sony,Tech
1029,Anthem,Healthcare
1030,Airbus,Manufacturing
1031,Royal Dutch Shell,Energy
1032,Itochu,Finance
1033,HonHai Precision Industry,Tech
1034,Exxon Mobil,Energy
1035,Fannie Mae,Finance
1036,FedEx,Transportation
1038,Cigna,Healthcare
1039,BMW,Manufacturing
1040,General Electric,Finance
1041,General Motors,Manufacturing
1042,Goldman Sachs Group,Finance
1043,Siemens,Manufacturing
1044,Lukoil,Energy
1045,Honda Motor,Manufacturing
1046,Volkswagen,Manufacturing
1047,Home Depot,Retail
1048,Carrefour,Retail
1049,Humana,Healthcare
1050,Mitsubishi,Manufacturing
1051,Intel,Tech
1052,Daimler,Transportation
1053,Alphabet,Tech
1054,J.P. Morgan Chase & Co.,Finance
1055,Johnson & Johnson,Healthcare
1056,Phillips 66,Energy
1057,Kroger,Retail
1058,Pemex,Energy
1059,Tesco,Retail
1060,Lowes,Retail
1061,Marathon Petroleum,Energy
1062,Engie,Energy
1063,McKesson,Consumer Products
1064,Merck,Healthcare
1065,BNP Paribas,Finance
1066,Microsoft,Tech
1067,Mondelez International,Consumer Products
1068,Morgan Stanley,Finance
1070,HSBC Holdings,Finance
1071,News Corp.,Misc
1072,Oracle,Tech
1073,PepsiCo,Consumer Products
1074,Pfizer,Healthcare
1075,Philip Morris International,Consumer Products
1076,Bosch,Tech
1077,Procter & Gamble,Consumer Products
1078,Prudential Financial,Finance
1079,Safeway,Retail
1080,Allianz,Finance
1081,Sprint Nextel,Communications
1082,State Farm Insurance Cos.,Finance
1083,Glencore,Misc
1084,Sysco,Consumer Products
1085,Target,Retail
1086,Huawei,Tech
1087,Toyota Motor,Manufacturing
1088,Tyson Foods,Consumer Products
1089,Nestle,Consumer Products
1090,United Parcel Service,Transportation
1091,Panasonic,Tech
1092,UnitedHealth Group,Healthcare
1093,Valero Energy,Energy
1094,Verizon Communications,Communications
1095,Walgreens,Retail
1096,Walmart,Retail
1097,Walt Disney,Communications
1098,Nissan Motor,Transportation
1099,Wells Fargo,Finance
1100,Trafigura Group,Finance
1101,Banco Santander,Finance
